phi0,g,delta,rh_pc,rt_pc,converged,nll,error,seconds,iteration
3.0,0.0,0.6,3.0,8.858352196957254,True,1936.889294486305,,0.25452230009250343,1
3.0,0.0,0.6,4.0,11.811136262609672,True,1288.6905407634395,,0.25704830000177026,1
3.0,0.0,0.6,5.0,14.763920328262092,True,1305.173918521665,,0.2555917000863701,1
3.0,0.0,0.6,6.0,17.716704393914508,True,1359.3982484354042,,0.25397700001485646,1
3.0,0.0,0.6,8.0,23.622272525219344,True,1459.3887751078091,,0.25383669999428093,1
3.0,0.0,0.6,10.0,29.527840656524184,True,1535.8740416876715,,0.2543330998159945,1
3.0,1.0,0.0,2.0,7.465668150548572,True,2706.7741552547673,,0.12240749993361533,1
3.0,1.0,0.0,3.0,11.198502225822859,True,1458.6584870241927,,0.12088530021719635,1
3.0,1.0,0.0,4.0,14.931336301097144,True,1284.3476015922924,,0.12166649987921119,1
3.0,1.0,0.0,5.0,18.66417037637143,True,1282.6087148346369,,0.12578370003029704,1
3.0,1.0,0.0,6.0,22.397004451645717,True,1326.1501277661364,,0.1243308000266552,1
3.0,1.0,0.0,8.0,29.862672602194287,True,1436.04634584234,,0.12553120008669794,1
3.0,1.0,0.0,10.0,37.32834075274286,True,1533.8962071435355,,0.12244009994901717,1
3.0,1.0,0.15,2.0,7.647185694912254,True,2590.800721174114,,0.197785799857229,1
3.0,1.0,0.15,3.0,11.470778542368382,True,1429.8066011096207,,0.1974462999496609,1
3.0,1.0,0.15,4.0,15.294371389824509,True,1277.4980652194151,,0.20011800015345216,1
3.0,1.0,0.15,5.0,19.117964237280635,True,1282.0151972231329,,0.201640099985525,1
3.0,1.0,0.15,6.0,22.941557084736765,True,1327.5171540225665,,0.20051550003699958,1
3.0,1.0,0.15,8.0,30.588742779649017,True,1437.684481314484,,0.20087360008619726,1
3.0,1.0,0.15,10.0,38.23592847456127,True,1535.294630524777,,0.1962739999871701,1
3.0,1.0,0.3,2.0,7.996387577404345,True,2414.3434984590826,,0.20458989986218512,1
3.0,1.0,0.3,3.0,11.994581366106516,True,1392.13154243374,,0.2034213999286294,1
3.0,1.0,0.3,4.0,15.99277515480869,True,1270.4670883475374,,0.20123969996348023,1
3.0,1.0,0.3,5.0,19.99096894351086,True,1282.4379370198344,,0.2061111000366509,1
3.0,1.0,0.3,6.0,23.989162732213032,True,1329.1281041969382,,0.20249700010754168,1
3.0,1.0,0.3,8.0,31.98555030961738,True,1437.1976179830046,,0.20358569989912212,1
3.0,1.0,0.3,10.0,39.98193788702172,True,1531.8556035008664,,0.21102629997767508,1
3.0,1.0,0.45,2.0,8.60260133612363,True,2288.291385236822,,0.22822579997591674,1
3.0,1.0,0.45,3.0,12.903902004185447,True,1354.3844511630737,,0.22887649992480874,1
3.0,1.0,0.45,4.0,17.20520267224726,True,1266.207892231681,,0.22966179996728897,1
3.0,1.0,0.45,5.0,21.506503340309077,True,1284.9455796826553,,0.23517540004104376,1
3.0,1.0,0.45,6.0,25.807804008370894,True,1331.2205165337496,,0.23388900002464652,1
3.0,1.0,0.45,8.0,34.41040534449452,True,1433.417875998524,,0.2299472999293357,1
3.0,1.0,0.45,10.0,43.013006680618155,True,1522.5200984561018,,0.22622419986873865,1
3.0,1.0,0.6,2.0,9.585121906252091,True,1932.3297076420138,,0.2636174999643117,1
3.0,1.0,0.6,3.0,14.377682859378137,True,1321.2066959912424,,0.26458760001696646,1
3.0,1.0,0.6,4.0,19.170243812504182,True,1268.3804598202425,,0.26000960008241236,1
3.0,1.0,0.6,5.0,23.962804765630228,True,1291.6370670698375,,0.2565758000127971,1
3.0,1.0,0.6,6.0,28.755365718756273,True,1333.9508493383887,,0.26190169993788004,1
3.0,1.0,0.6,8.0,38.340487625008365,True,1423.1704519247933,,0.25809470005333424,1
3.0,1.0,0.6,10.0,47.925609531260456,True,1500.7598425457086,,0.2560689998790622,1
3.0,2.0,0.0,2.0,14.486291204446525,True,1665.8746458147002,,0.13781309989281,1
3.0,2.0,0.0,3.0,21.72943680666979,True,1342.6302160851112,,0.13804150000214577,1
3.0,2.0,0.0,4.0,28.97258240889305,True,1270.7113636151664,,0.1392945998813957,1
3.0,2.0,0.0,5.0,36.21572801111631,True,1277.6135606032535,,0.13657790003344417,1
3.0,2.0,0.0,6.0,43.45887361333958,True,1313.5908437165158,,0.13771150005050004,1
3.0,2.0,0.0,8.0,57.9451648177861,True,1407.991661059061,,0.13739120005629957,1
3.0,2.0,0.0,10.0,72.43145602223262,True,1498.4723998355382,,0.13948839996010065,1
3.0,2.0,0.15,2.0,15.022126612048467,True,1635.8006988634268,,0.1968392999842763,1
3.0,2.0,0.15,3.0,22.5331899180727,True,1333.002132776196,,0.1973393999505788,1
3.0,2.0,0.15,4.0,30.044253224096934,True,1267.5725862461106,,0.20581219997256994,1
3.0,2.0,0.15,5.0,37.55531653012117,True,1276.9997085057016,,0.19786290009506047,1
3.0,2.0,0.15,6.0,45.0663798361454,True,1313.7750976961718,,0.19947650004178286,1
3.0,2.0,0.15,8.0,60.08850644819387,True,1408.1353561763076,,0.19829380000010133,1
3.0,2.0,0.15,10.0,75.11063306024234,True,1498.4788760728447,,0.1999764998909086,1
3.0,2.0,0.3,2.0,16.121331716623935,True,1590.6043493252268,,0.2138772001489997,1
3.0,2.0,0.3,3.0,24.181997574935906,True,1321.3540529254474,,0.2106029000133276,1
3.0,2.0,0.3,4.0,32.24266343324787,True,1264.9239286346713,,0.2128903998527676,1
3.0,2.0,0.3,5.0,40.30332929155984,True,1276.6717764339671,,0.21374839986674488,1
3.0,2.0,0.3,6.0,48.36399514987181,True,1313.3530610305513,,0.21611110004596412,1
3.0,2.0,0.3,8.0,64.48532686649574,True,1405.8503461762402,,0.21826569992117584,1
3.0,2.0,0.3,10.0,80.60665858311968,True,1493.9714411671898,,0.21438319981098175,1
3.0,2.0,0.45,2.0,18.286837943886436,True,1531.4830014504507,,0.22897729999385774,1
3.0,2.0,0.45,3.0,27.430256915829656,True,1308.0933790580286,,0.23264439986087382,1
3.0,2.0,0.45,4.0,36.57367588777287,True,1263.8435836990175,,0.2344079001341015,1
3.0,2.0,0.45,5.0,45.71709485971609,True,1277.531755977305,,0.2308947998099029,1
3.0,2.0,0.45,6.0,54.86051383165931,True,1313.0085606097232,,0.23056619986891747,1
3.0,2.0,0.45,8.0,73.14735177554574,True,1399.9814086440147,,0.22807419998571277,1
3.0,2.0,0.45,10.0,91.43418971943218,True,1483.025858432652,,0.23069230001419783,1
3.0,2.0,0.6,2.0,22.902104348899236,True,1467.2273237320508,,0.26157820015214384,1
3.0,2.0,0.6,3.0,34.35315652334886,True,1300.513704871811,,0.2595493998378515,1
3.0,2.0,0.6,4.0,45.80420869779847,True,1267.886347114476,,0.2567741998936981,1
3.0,2.0,0.6,5.0,57.2552608722481,True,1280.6699164376164,,0.2693503999616951,1
3.0,2.0,0.6,6.0,68.70631304669772,True,1310.1662977624317,,0.2656008000485599,1
3.0,2.0,0.6,8.0,91.60841739559694,True,1384.4886460182527,,0.2670808001421392,1
3.0,2.0,0.6,10.0,114.5105217444962,True,1457.8550026102248,,0.2641914999112487,1
4.0,0.0,0.0,2.0,5.745439483327211,True,3672.4486288572834,,0.13777139992453158,1
4.0,0.0,0.0,3.0,8.618159224990817,True,1989.45735214956,,0.13558149989694357,1
